query_id,mask_ratio,clean_rank,attention_margin_drop,random_margin_drop,attention_descriptor_drift,random_descriptor_drift,attention_positive_similarity_drop,random_positive_similarity_drop,attention_rank_degradation,random_rank_degradation,attention_failure_flip,random_failure_flip,attention_hit_at_1,random_hit_at_1,attention_hit_at_5,random_hit_at_5,attention_hit_at_10,random_hit_at_10,paired_margin_difference
198,0.1,1,0.10342520475387573,0.04610370397567749,0.37247949838638306,0.15670788288116455,0.1796613335609436,0.07398600578308105,0,0.0,0,0.0,1,1.0,1,1.0,1,1.0,0.05732150077819824
207,0.1,1,0.011324495077133179,0.008339542150497436,0.29918038845062256,0.10772197246551514,0.0989459753036499,0.03568090200424194,0,0.0,0,0.0,1,1.0,1,1.0,1,1.0,0.002984952926635743
454,0.1,1,0.0484776496887207,0.005421566963195801,0.23315680027008057,0.10160994529724121,0.07029902935028076,0.02177152633666992,0,0.0,0,0.0,1,1.0,1,1.0,1,1.0,0.0430560827255249
502,0.1,1,0.08713790774345398,0.0375500500202179,0.31092941761016846,0.166066312789917,0.10762929916381836,0.05545529127120972,0,0.0,0,0.0,1,1.0,1,1.0,1,1.0,0.04958785772323608
497,0.1,1,0.0804046094417572,0.03058762550354004,0.3020411729812622,0.16415575742721558,0.10862958431243896,0.0496688187122345,0,0.0,0,0.0,1,1.0,1,1.0,1,1.0,0.049816983938217166
592,0.1,1,0.0611441433429718,-0.001826012134552002,0.3090381622314453,0.08189795017242432,0.12559771537780762,0.034145689010620116,1,0.0,1,0.0,0,1.0,1,1.0,1,1.0,0.0629701554775238
105,0.1,1,0.057808756828308105,0.02913357615470886,0.4932062029838562,0.3329543709754944,0.20129626989364624,0.11549484133720397,0,0.0,0,0.0,1,1.0,1,1.0,1,1.0,0.028675180673599244
119,0.1,1,0.06839275360107422,0.027157604694366455,0.33411145210266113,0.149124813079834,0.09153807163238525,0.05097296237945557,0,0.0,0,0.0,1,1.0,1,1.0,1,1.0,0.041235148906707764
633,0.1,1,0.2559185326099396,0.0858603298664093,0.34438467025756836,0.14111073017120362,0.2569205164909363,0.08768719434738159,0,0.0,0,0.0,1,1.0,1,1.0,1,1.0,0.17005820274353028
266,0.1,1,0.03692394495010376,0.0075909137725830075,0.33278632164001465,0.08765366077423095,0.145064115524292,0.03607186675071716,0,0.0,0,0.0,1,1.0,1,1.0,1,1.0,0.02933303117752075
674,0.1,1,0.1222282350063324,0.06586382389068604,0.32874464988708496,0.17173768281936647,0.1581895649433136,0.08442864418029786,0,0.0,0,0.0,1,1.0,1,1.0,1,1.0,0.05636441111564636
394,0.1,1,0.021047323942184448,0.010485190153121948,0.25897830724716187,0.1225581169128418,0.10467490553855896,0.03719907999038696,0,0.0,0,0.0,1,1.0,1,1.0,1,1.0,0.0105621337890625
616,0.1,1,0.06352344155311584,0.021986562013626098,0.31445062160491943,0.11185622215270996,0.07106152176856995,0.044766288995742795,0,0.0,0,0.0,1,1.0,1,1.0,1,1.0,0.04153687953948974
112,0.1,1,0.09892682731151581,0.007454186677932739,0.3403761386871338,0.21869027614593506,0.181809663772583,0.09381608366966247,0,0.0,0,0.0,1,1.0,1,1.0,1,1.0,0.09147264063358307
397,0.1,1,0.0013588666915893555,0.026298636198043825,0.37818145751953125,0.1650105595588684,0.13075166940689087,0.06159325242042542,0,0.0,0,0.0,1,1.0,1,1.0,1,1.0,-0.02493976950645447
464,0.1,1,0.13201598823070526,0.03126401305198669,0.41115856170654297,0.13566004037857055,0.1612870693206787,0.03912861347198486,0,0.0,0,0.0,1,1.0,1,1.0,1,1.0,0.10075197517871856
