query_id,window_y,window_x,attention_score,margin_drop,positive_similarity_drop,descriptor_drift,rank_degradation,clean_hit_at_1,clean_rank,perturbed_rank,clean_margin,perturbed_margin,mask_tokens,mask_pixels
250,1,2,0.000870097370352596,0.00024402141571044922,0.001300036907196045,0.0015119314193725586,0,1,1,1,0.04944068193435669,0.04919666051864624,4,784
250,1,3,0.0012129064416512847,-0.0009694397449493408,0.0012092292308807373,0.0016753673553466797,0,1,1,1,0.04944068193435669,0.05041012167930603,4,784
250,1,4,0.0010824243072420359,-0.0009888708591461182,0.00015035271644592285,0.0012799501419067383,0,1,1,1,0.04944068193435669,0.05042955279350281,4,784
250,1,5,0.0008586141630075872,0.0006985664367675781,0.0006026625633239746,0.0006685256958007812,0,1,1,1,0.04944068193435669,0.04874211549758911,4,784
250,1,6,0.0007142122485674918,0.0007363557815551758,-0.0002880096435546875,0.0010142326354980469,0,1,1,1,0.04944068193435669,0.048704326152801514,4,784
250,1,7,0.000802511116489768,0.0005859732627868652,-0.0003376603126525879,0.0018268227577209473,0,1,1,1,0.04944068193435669,0.048854708671569824,4,784
250,1,8,0.000669269822537899,0.0006629228591918945,0.0008883774280548096,0.0012920498847961426,0,1,1,1,0.04944068193435669,0.048777759075164795,4,784
250,1,9,0.00042517235851846635,-7.995963096618652e-05,5.805492401123047e-05,0.00044345855712890625,0,1,1,1,0.04944068193435669,0.049520641565322876,4,784
250,1,10,0.00035261636367067695,-0.000626981258392334,0.0002352297306060791,0.0010984539985656738,0,1,1,1,0.04944068193435669,0.05006766319274902,4,784
250,1,11,0.0003057028807234019,-0.0012267827987670898,-0.0004311800003051758,0.0002593398094177246,0,1,1,1,0.04944068193435669,0.05066746473312378,4,784
250,1,12,0.0003489156370051205,-0.001025170087814331,0.00013333559036254883,0.0002999305725097656,0,1,1,1,0.04944068193435669,0.05046585202217102,4,784
250,1,13,0.0005400010850280523,-0.0007011294364929199,0.0008977055549621582,0.0003706216812133789,0,1,1,1,0.04944068193435669,0.05014181137084961,4,784
250,1,14,0.000662187347188592,-0.0007863640785217285,0.0013430118560791016,0.0003491044044494629,0,1,1,1,0.04944068193435669,0.05022704601287842,4,784
250,1,15,0.0006456002010963857,-0.000341951847076416,0.0021852850914001465,0.0006187558174133301,0,1,1,1,0.04944068193435669,0.049782633781433105,4,784
250,1,16,0.0007039876654744148,-0.00015735626220703125,-0.00022968649864196777,0.0013399124145507812,0,1,1,1,0.04944068193435669,0.04959803819656372,4,784
250,1,17,0.0008088373579084873,0.0029307305812835693,0.0029585063457489014,0.0015532374382019043,0,1,1,1,0.04944068193435669,0.04650995135307312,4,784
250,1,18,0.0007930732681415975,0.0029992759227752686,0.004185348749160767,0.0017930865287780762,0,1,1,1,0.04944068193435669,0.04644140601158142,4,784
250,1,19,0.0005781864165328443,-0.0018138587474822998,-1.6927719116210938e-05,0.001289069652557373,0,1,1,1,0.04944068193435669,0.05125454068183899,4,784
250,1,20,0.0004454891022760421,-0.002893775701522827,-0.0011899173259735107,0.0025713443756103516,0,1,1,1,0.04944068193435669,0.05233445763587952,4,784
250,1,21,0.00043661700328812003,-3.6954879760742188e-06,-0.001473933458328247,0.002028822898864746,0,1,1,1,0.04944068193435669,0.049444377422332764,4,784
