query_id,n_windows,spearman,spearman_defined,undefined_reason,tail_k,top_mean_damage,bottom_mean_damage,top_minus_bottom_damage,attention_max_window_y,attention_max_window_x,attention_max_ties,attention_max_damage,attention_max_damage_percentile,negative_damage_window_fraction,clean_hit_at_1,token_h,token_w,variant_forward_calls,max_variant_batch,min_variant_batch,clean_margin_delta_vs_source
549,484,0.26801340137390006,True,,48,0.007497468963265419,0.0005891192704439163,0.006908349692821503,12,11,1,0.0018480420112609863,65.21739130434783,0.32644628099173556,1,23,23,16,32,4,-1.192092894952701e-07
511,484,0.20754422628021907,True,,48,0.00699014775454998,-0.00022134495278199515,0.007211492707331975,13,10,1,0.01352471113204956,96.68737060041408,0.49173553719008267,1,23,23,16,32,4,-4.172325133722232e-07
473,484,0.5539184095314652,True,,48,0.02486661697427432,0.00013471953570842743,0.02473189743856589,12,12,1,0.03815871477127075,96.68737060041408,0.41115702479338845,1,23,23,16,32,4,-5.9604644719879474e-08
608,484,0.12832540508674323,True,,48,0.008617814630270004,-0.0010090873887141545,0.00962690201898416,12,11,1,0.031138718128204346,99.17184265010351,0.609504132231405,1,23,23,16,32,4,-2.384185791015625e-07
409,484,0.17706959516991705,True,,48,0.004202897970875104,3.6178777615229286e-05,0.004166719193259874,7,8,1,0.006894141435623169,93.58178053830228,0.49793388429752067,1,23,23,16,32,4,1.192092896062924e-07
429,484,0.12391222322357971,True,,48,0.012224751835068067,-2.919696271419525e-05,0.012253948797782263,8,9,1,0.03585126996040344,98.34368530020704,0.4297520661157025,1,23,23,16,32,4,-1.1920928955078125e-07
550,484,0.1514666418297077,True,,48,0.005555894846717517,-0.00035113468766212463,0.0059070295343796415,14,8,1,0.013771921396255493,93.7888198757764,0.5351239669421488,1,23,23,16,32,4,1.192092896062924e-07
275,484,0.13205106175623754,True,,48,0.0033363799254099527,0.0004134917010863622,0.0029228882243235903,14,10,1,-0.008476495742797852,2.691511387163561,0.3615702479338843,1,23,23,16,32,4,3.2782554626464844e-07
613,484,0.034409949382611486,True,,48,0.0029135625809431076,-8.817513783772786e-05,0.0030017377187808356,11,9,1,0.006865471601486206,94.20289855072464,0.4132231404958678,1,23,23,16,32,4,1.490116120078655e-07
509,484,-0.4075891658536224,True,,48,-0.007518776382009189,0.00025248775879542035,-0.007771264140804609,15,11,1,-0.009826600551605225,7.246376811594203,0.7107438016528925,0,23,23,16,32,4,-4.172325134277344e-07
37,484,0.19660547381364651,True,,48,0.008035077092548212,0.00032165894905726117,0.0077134181434909506,12,11,1,0.022320836782455444,98.75776397515529,0.365702479338843,1,23,23,16,32,4,-2.9802322387695312e-08
514,484,0.2604592261981936,True,,48,0.003877281521757444,-0.0009145668397347132,0.004791848361492157,11,19,1,0.004581421613693237,87.16356107660455,0.6177685950413223,1,23,23,16,32,4,5.960464483090178e-08
268,484,-0.12114272590210814,True,,48,-0.001356422280271848,0.00011279992759227753,-0.0014692222078641255,15,11,1,-0.00699925422668457,4.968944099378882,0.6590909090909091,1,23,23,16,32,4,-2.0861625663753935e-07
198,484,0.4631578111794892,True,,48,0.01010044664144516,-0.0005110489825407664,0.010611495623985926,13,6,1,-0.006549656391143799,0.4140786749482402,0.5599173553719008,1,23,23,16,32,4,-3.278255462091373e-07
207,484,0.07223268752563795,True,,48,0.00019057653844356537,6.519444286823273e-05,0.00012538209557533264,10,12,1,0.003627568483352661,88.19875776397515,0.506198347107438,1,23,23,16,32,4,-5.9604644719879474e-08
454,484,0.15247338538157984,True,,48,0.003590810423096021,-0.00010409144063790639,0.0036949018637339277,9,12,1,-0.003978610038757324,2.898550724637681,0.5599173553719008,1,23,23,16,32,4,-1.1920928952302567e-07
502,484,0.14765251048206102,True,,48,0.004051657393574715,-0.0005552352716525396,0.004606892665227254,8,17,1,0.01614910364151001,97.9296066252588,0.5578512396694215,1,23,23,16,32,4,1.7881393438168303e-07
