mask_ratio,n_queries_total,n_paired_queries,n_excluded_no_translation,condition,margin_drop,descriptor_drift,positive_similarity_drop,rank_degradation,failure_flip,hit_at_1,hit_at_5,hit_at_10,n_clean_correct,failure_flip_given_clean_correct,paired_margin_difference,paired_margin_ci_low,paired_margin_ci_high,mask_mode,baseline
0.1,100,100,0,random_token,0.01982025620341301,0.11651112985610962,0.03839626884460449,0.8880000000000001,0.036000000000000004,0.892,0.9520000000000001,0.956,92,0.0391304347826087,0.042568985402584074,0.03189997526817025,0.05296308667324483,connected_topk,random_token
0.1,100,100,0,attention_connected,0.062389241605997084,0.3208696359395981,0.1147609768807888,5.04,0.08,0.87,0.95,0.95,92,0.08695652173913043,0.042568985402584074,0.03189997526817025,0.05296308667324483,connected_topk,random_token
0.15,100,100,0,clean,0.0,0.0,0.0,0.0,0.0,0.92,0.95,0.96,92,0.0,0.050726542130112656,0.04086152933910489,0.06172458352521061,connected_topk,random_token
0.15,100,100,0,random_token,0.034656765133142475,0.18115189528465273,0.061813710719347006,1.318,0.022000000000000002,0.9079999999999999,0.9480000000000001,0.956,92,0.02391304347826087,0.050726542130112656,0.04086152933910489,0.06172458352521061,connected_topk,random_token
0.15,100,100,0,attention_connected,0.08538330726325512,0.41149726033210754,0.15088959723711015,7.76,0.1,0.84,0.95,0.95,92,0.10869565217391304,0.050726542130112656,0.04086152933910489,0.06172458352521061,connected_topk,random_token
0.2,100,100,0,clean,0.0,0.0,0.0,0.0,0.0,0.92,0.95,0.96,92,0.0,0.06259597699344158,0.0504672672379762,0.07550983565375208,connected_topk,random_token
0.2,100,100,0,random_token,0.04877491664886475,0.24844152867794037,0.08859678041934967,3.7680000000000002,0.052000000000000005,0.878,0.9420000000000001,0.9540000000000001,92,0.05652173913043478,0.06259597699344158,0.0504672672379762,0.07550983565375208,connected_topk,random_token
0.2,100,100,0,attention_connected,0.11137089364230633,0.49382050812244416,0.18884118482470513,10.31,0.16,0.79,0.89,0.93,92,0.17391304347826086,0.06259597699344158,0.0504672672379762,0.07550983565375208,connected_topk,random_token
0.1,100,99,1,clean,0.0,0.0,0.0,0.0,0.0,0.9292929292929293,0.9595959595959596,0.9696969696969697,92,0.0,0.037159169216950734,0.02794508229414321,0.04693449102643162,raw_topk,random_pixel
0.1,100,99,1,random_pixel,0.02609265186268874,0.15067824366116764,0.04849425576853029,3.6848484848484846,0.02828282828282828,0.907070707070707,0.9616161616161616,0.9717171717171718,92,0.03043478260869565,0.037159169216950734,0.02794508229414321,0.04693449102643162,raw_topk,random_pixel
0.1,100,99,1,attention_raw_topk,0.06325182107963948,0.3233490327391962,0.11077808400597235,6.01010101010101,0.0707070707070707,0.8787878787878788,0.9696969696969697,0.9696969696969697,92,0.07608695652173914,0.037159169216950734,0.02794508229414321,0.04693449102643162,raw_topk,random_pixel
0.15,100,99,1,clean,0.0,0.0,0.0,0.0,0.0,0.9292929292929293,0.9595959595959596,0.9696969696969697,92,0.0,0.041711064992528975,0.03276792081468032,0.05208931142332576,raw_topk,random_pixel
0.15,100,99,1,random_pixel,0.04426399556675342,0.23218505105586967,0.07987873962130208,2.2626262626262625,0.05656565656565657,0.8828282828282829,0.9595959595959596,0.9656565656565655,92,0.0608695652173913,0.041711064992528975,0.03276792081468032,0.05208931142332576,raw_topk,random_pixel
0.15,100,99,1,attention_raw_topk,0.0859750605592824,0.41665580356963955,0.15099338637758988,7.898989898989899,0.12121212121212122,0.8383838383838383,0.9595959595959596,0.9595959595959596,92,0.13043478260869565,0.041711064992528975,0.03276792081468032,0.05208931142332576,raw_topk,random_pixel
0.2,100,99,1,clean,0.0,0.0,0.0,0.0,0.0,0.9292929292929293,0.9595959595959596,0.9696969696969697,92,0.0,0.051504764683318854,0.040678798984548056,0.06223670809256908,raw_topk,random_pixel
0.2,100,99,1,random_pixel,0.06044834873290977,0.30047421021894977,0.10919977786264035,5.01010101010101,0.06262626262626263,0.8909090909090908,0.9474747474747476,0.9616161616161616,92,0.06739130434782609,0.051504764683318854,0.040678798984548056,0.06223670809256908,raw_topk,random_pixel
0.2,100,99,1,attention_raw_topk,0.11195311341622863,0.49671310367006244,0.18958697151957135,11.363636363636363,0.16161616161616163,0.7878787878787878,0.9292929292929293,0.9494949494949495,92,0.17391304347826086,0.051504764683318854,0.040678798984548056,0.06223670809256908,raw_topk,random_pixel
0.1,100,99,1,clean,0.0,0.0,0.0,0.0,0.0,0.9292929292929293,0.9595959595959596,0.9696969696969697,92,0.0,0.04286133195414688,0.03276397394185716,0.05387916934309584,raw_topk,random_token
0.1,100,99,1,random_token,0.020390489125492597,0.12480937627830889,0.03952557808823056,0.37171717171717167,0.024242424242424246,0.9111111111111113,0.9616161616161616,0.9636363636363637,92,0.02608695652173913,0.04286133195414688,0.03276397394185716,0.05387916934309584,raw_topk,random_token
0.1,100,99,1,attention_raw_topk,0.06325182107963948,0.3233490327391962,0.11077808400597235,6.01010101010101,0.0707070707070707,0.8787878787878788,0.9696969696969697,0.9696969696969697,92,0.07608695652173914,0.04286133195414688,0.03276397394185716,0.05387916934309584,raw_topk,random_token
0.15,100,99,1,clean,0.0,0.0,0.0,0.0,0.0,0.9292929292929293,0.9595959595959596,0.9696969696969697,92,0.0,0.051788341095953275,0.041851088773421564,0.06261597864743734,raw_topk,random_token
0.15,100,99,1,random_token,0.03418671946332912,0.18631321649358729,0.06128196135313824,1.7373737373737377,0.022222222222222223,0.9191919191919192,0.9595959595959596,0.9656565656565655,92,0.02391304347826087,0.051788341095953275,0.041851088773421564,0.06261597864743734,raw_topk,random_token
0.15,100,99,1,attention_raw_topk,0.0859750605592824,0.41665580356963955,0.15099338637758988,7.898989898989899,0.12121212121212122,0.8383838383838383,0.9595959595959596,0.9595959595959596,92,0.13043478260869565,0.051788341095953275,0.041851088773421564,0.06261597864743734,raw_topk,random_token
0.2,100,99,1,clean,0.0,0.0,0.0,0.0,0.0,0.9292929292929293,0.9595959595959596,0.9696969696969697,92,0.0,0.05834009409552873,0.04664177161312163,0.0699093203596545,raw_topk,random_token
0.2,100,99,1,random_token,0.0536130193206999,0.2762453429626696,0.09863055185838178,4.725252525252524,0.048484848484848485,0.8929292929292928,0.9434343434343434,0.9535353535353536,92,0.05217391304347826,0.05834009409552873,0.04664177161312163,0.0699093203596545,raw_topk,random_token
0.2,100,99,1,attention_raw_topk,0.11195311341622863,0.49671310367006244,0.18958697151957135,11.363636363636363,0.16161616161616163,0.7878787878787878,0.9292929292929293,0.9494949494949495,92,0.17391304347826086,0.05834009409552873,0.04664177161312163,0.0699093203596545,raw_topk,random_token
