comparison,query_id,mask_ratio,left_margin_drop,right_margin_drop,left_descriptor_drift,right_descriptor_drift,left_positive_similarity_drop,right_positive_similarity_drop,left_rank_degradation,right_rank_degradation,left_failure_flip,right_failure_flip,left_hit_at_1,right_hit_at_1,left_hit_at_5,right_hit_at_5,left_hit_at_10,right_hit_at_10
connected_topk:random_token-minus-random_pixel,34,0.1,-0.006192646920681,0.0038059577345848083,0.17461501359939574,0.21149741411209105,0.0054162457585334774,0.010559658706188201,21.2,53.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.0
connected_topk:random_token-minus-random_pixel,36,0.1,0.014156472682952882,0.02811300754547119,0.10814270973205567,0.10308570861816406,0.05103604793548584,0.04512650966644287,0.4,0.2,0.2,0.2,0.8,0.8,1.0,1.0,1.0,1.0
connected_topk:random_token-minus-random_pixel,37,0.1,0.023913866281509398,0.013775810599327087,0.06808693408966064,0.09843323230743409,0.029405975341796876,0.012101203203201294,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
connected_topk:random_token-minus-random_pixel,42,0.1,0.009428668022155761,0.0069327235221862795,0.060719525814056395,0.06030299663543701,0.0089164137840271,0.005734097957611084,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
connected_topk:random_token-minus-random_pixel,43,0.1,0.03132066428661347,0.04733690619468689,0.09051969051361083,0.18381388187408448,0.03706697821617126,0.05605458617210388,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
connected_topk:random_token-minus-random_pixel,48,0.1,0.019094979763031004,0.045803380012512204,0.09152117967605591,0.20705453157424927,0.021987485885620116,0.04934467673301697,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
connected_topk:random_token-minus-random_pixel,59,0.1,0.015317529439926147,0.03445558547973633,0.1470036029815674,0.13346056938171386,0.09249403476715087,0.07955105304718017,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
connected_topk:random_token-minus-random_pixel,66,0.1,0.00657312273979187,-0.004354369640350342,0.06683493852615356,0.10313942432403564,0.011615496873855592,0.015139532089233399,0.0,-0.4,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
connected_topk:random_token-minus-random_pixel,72,0.1,0.006554043292999268,0.012238860130310059,0.11564570665359497,0.11519371271133423,0.02687382698059082,0.03842287063598633,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
connected_topk:random_token-minus-random_pixel,105,0.1,0.01542406678199768,0.029133588075637817,0.2635525941848755,0.33295429944992067,0.0859144389629364,0.11549484133720397,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
connected_topk:random_token-minus-random_pixel,110,0.1,0.017097944021224977,0.00517699122428894,0.06945016384124755,0.08332178592681885,0.039767122268676756,0.03782057762145996,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
connected_topk:random_token-minus-random_pixel,112,0.1,0.0018674612045288086,0.007454177737236023,0.17429898977279662,0.21869028806686402,0.06919586658477783,0.09381610155105591,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
connected_topk:random_token-minus-random_pixel,119,0.1,0.0175886332988739,0.02715756297111511,0.15222784280776977,0.149124813079834,0.03422861099243164,0.05097295045852661,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
connected_topk:random_token-minus-random_pixel,129,0.1,0.026298466324806213,0.0013671547174453735,0.18845386505126954,0.21564748287200927,0.00744422972202301,-0.026297014951705933,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
connected_topk:random_token-minus-random_pixel,136,0.1,0.019147539138793947,0.02199023962020874,0.10927950143814087,0.184649658203125,0.02655279040336609,0.04852420687675476,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
connected_topk:random_token-minus-random_pixel,152,0.1,0.01327539086341858,-0.0001962006092071533,0.057293045520782473,0.20941926240921022,0.026138776540756227,0.06074493527412415,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
connected_topk:random_token-minus-random_pixel,154,0.1,0.0273522824048996,0.02988852858543396,0.18438713550567626,0.1923370361328125,0.06862701773643494,0.06114790439605713,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
connected_topk:random_token-minus-random_pixel,163,0.1,0.0018094509840011596,-0.001341313123703003,0.12349035739898681,0.11847797632217408,0.010587063431739808,-0.0057788312435150145,0.6,-0.2,0.0,0.0,0.0,0.2,1.0,1.0,1.0,1.0
connected_topk:random_token-minus-random_pixel,190,0.1,0.03436173796653748,0.01942051649093628,0.19256227016448973,0.11288056373596192,0.11497550010681153,0.06594283580780029,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
connected_topk:random_token-minus-random_pixel,192,0.1,0.0037712663412094115,0.011972284317016602,0.14861384630203248,0.20995720624923705,0.014043274521827697,0.013673970103263855,1.4,2.2,0.8,0.6,0.2,0.4,1.0,0.8,1.0,1.0
connected_topk:random_token-minus-random_pixel,198,0.1,0.0434149980545044,0.0461037278175354,0.12773497104644777,0.15670785903930665,0.049467945098876955,0.0739859938621521,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
connected_topk:random_token-minus-random_pixel,207,0.1,0.005519610643386841,0.008339554071426392,0.09342077970504761,0.10772197246551514,0.03504719734191895,0.03568092584609985,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
connected_topk:random_token-minus-random_pixel,210,0.1,0.011606287956237794,0.047054654359817503,0.05742313861846924,0.16564807891845704,0.030495429039001466,0.08421289920806885,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
connected_topk:random_token-minus-random_pixel,211,0.1,0.012752914428710937,0.030772900581359862,0.06873470544815063,0.13757065534591675,0.018879199028015138,0.04612575769424439,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
