comparison,query_id,mask_ratio,left_margin_drop,right_margin_drop,left_descriptor_drift,right_descriptor_drift,left_positive_similarity_drop,right_positive_similarity_drop,left_rank_degradation,right_rank_degradation,left_failure_flip,right_failure_flip,left_hit_at_1,right_hit_at_1,left_hit_at_5,right_hit_at_5,left_hit_at_10,right_hit_at_10
attention_raw_topk-minus-attention_connected,497,0.1,0.07790528237819672,0.08040452003479004,0.29467666149139404,0.3020411729812622,0.10102236270904541,0.10862952470779419,0,0,0,0,1,1,1,1,1,1
attention_raw_topk-minus-attention_connected,592,0.1,0.051756590604782104,0.061144083738327026,0.3122447729110718,0.3090381622314453,0.13077843189239502,0.12559762597084045,1,1,1,1,0,0,1,1,1,1
attention_raw_topk-minus-attention_connected,105,0.1,0.05780872702598572,0.05780872702598572,0.4932062029838562,0.4932062029838562,0.20129629969596863,0.20129629969596863,0,0,0,0,1,1,1,1,1,1
attention_raw_topk-minus-attention_connected,119,0.1,0.10014086961746216,0.068392813205719,0.35897934436798096,0.33411145210266113,0.11076009273529053,0.09153813123703003,0,0,0,0,1,1,1,1,1,1
attention_raw_topk-minus-attention_connected,633,0.1,0.26729851961135864,0.25591860711574554,0.32434678077697754,0.3443845510482788,0.2618928551673889,0.25692057609558105,0,0,0,0,1,1,1,1,1,1
attention_raw_topk-minus-attention_connected,266,0.1,0.03684696555137634,0.03692394495010376,0.34300005435943604,0.33278632164001465,0.1332668960094452,0.14506417512893677,0,0,0,0,1,1,1,1,1,1
attention_raw_topk-minus-attention_connected,674,0.1,0.10363751649856567,0.12222835421562195,0.29484236240386963,0.32874464988708496,0.10146600008010864,0.15818971395492554,0,0,0,0,1,1,1,1,1,1
attention_raw_topk-minus-attention_connected,394,0.1,0.061171144247055054,0.021047234535217285,0.2827422022819519,0.25897836685180664,0.09283483028411865,0.10467484593391418,0,0,0,0,1,1,1,1,1,1
attention_raw_topk-minus-attention_connected,616,0.1,0.06752172112464905,0.06352353096008301,0.29179322719573975,0.31445062160491943,0.0739593505859375,0.07106161117553711,0,0,0,0,1,1,1,1,1,1
attention_raw_topk-minus-attention_connected,112,0.1,0.04674506187438965,0.09892679750919342,0.3537927269935608,0.34037625789642334,0.1457810401916504,0.18180963397026062,0,0,0,0,1,1,1,1,1,1
attention_raw_topk-minus-attention_connected,397,0.1,0.006731271743774414,0.0013588964939117432,0.3919001817703247,0.37818145751953125,0.13049420714378357,0.13075169920921326,0,0,0,0,1,1,1,1,1,1
attention_raw_topk-minus-attention_connected,464,0.1,0.09528926014900208,0.13201607763767242,0.3741459250450134,0.41115856170654297,0.1258995532989502,0.1612871289253235,0,0,0,0,1,1,1,1,1,1
attention_raw_topk-minus-attention_connected,693,0.1,0.06210625171661377,0.0707097053527832,0.34944087266921997,0.35374367237091064,0.1517353355884552,0.17408549785614014,2,2,1,1,0,0,1,1,1,1
attention_raw_topk-minus-attention_connected,349,0.1,0.06724731624126434,0.06821022927761078,0.47831636667251587,0.4542348384857178,0.27467650175094604,0.2657974362373352,0,0,0,0,1,1,1,1,1,1
attention_raw_topk-minus-attention_connected,487,0.1,0.1311545968055725,0.149469256401062,0.44617635011672974,0.4305729269981384,0.1608736515045166,0.1899024248123169,0,0,0,0,1,1,1,1,1,1
attention_raw_topk-minus-attention_connected,733,0.1,0.017203539609909058,0.036220043897628784,0.23494172096252441,0.25631701946258545,0.06781667470932007,0.06997048854827881,0,0,0,0,1,1,1,1,1,1
attention_raw_topk-minus-attention_connected,471,0.1,-0.04138399660587311,-0.007298693060874939,0.3708336353302002,0.4009009003639221,0.007288083434104919,0.03511492908000946,-17,5,0,0,0,0,1,0,1,0
attention_raw_topk-minus-attention_connected,687,0.1,0.1360662877559662,0.08491992950439453,0.4025195837020874,0.38775062561035156,0.2283422350883484,0.2191128134727478,0,0,0,0,1,1,1,1,1,1
attention_raw_topk-minus-attention_connected,253,0.1,0.06895220279693604,0.018602699041366577,0.2770652770996094,0.26468425989151,0.10606390237808228,0.09466773271560669,0,0,0,0,1,1,1,1,1,1
attention_raw_topk-minus-attention_connected,333,0.1,0.011653468012809753,0.015234708786010742,0.35254764556884766,0.3576589822769165,0.14831551909446716,0.13341721892356873,0,0,0,0,1,1,1,1,1,1
attention_raw_topk-minus-attention_connected,34,0.1,0.019777491688728333,-0.022375360131263733,0.3576586842536926,0.3036257028579712,0.02559661865234375,-0.010302603244781494,94,-46,0,0,0,0,0,0,0,0
attention_raw_topk-minus-attention_connected,290,0.1,0.001350104808807373,0.0006601512432098389,0.33602023124694824,0.33492422103881836,0.07789942622184753,0.07558107376098633,0,0,0,0,1,1,1,1,1,1
attention_raw_topk-minus-attention_connected,110,0.1,-0.0006067752838134766,-0.02119305729866028,0.15763062238693237,0.15965259075164795,0.06571990251541138,0.06241929531097412,0,0,0,0,1,1,1,1,1,1
attention_raw_topk-minus-attention_connected,301,0.1,0.06940209865570068,0.05099368095397949,0.25002098083496094,0.2639681100845337,0.07263007760047913,0.06370773911476135,0,0,0,0,1,1,1,1,1,1
attention_raw_topk-minus-attention_connected,489,0.1,0.19929608702659607,0.19060179591178894,0.3847045302391052,0.3807556629180908,0.22658976912498474,0.21961838006973267,0,0,0,0,1,1,1,1,1,1
attention_raw_topk-minus-attention_connected,154,0.1,0.022845208644866943,0.007761657238006592,0.2946656346321106,0.3055339455604553,0.06129530072212219,0.056418657302856445,0,0,0,0,1,1,1,1,1,1
attention_raw_topk-minus-attention_connected,481,0.1,0.047442227602005005,0.031120896339416504,0.2656039595603943,0.2625476121902466,0.09372258186340332,0.08189600706100464,0,0,0,0,1,1,1,1,1,1
attention_raw_topk-minus-attention_connected,602,0.1,0.0927707850933075,0.10789886116981506,0.22205090522766113,0.23846983909606934,0.07362422347068787,0.07738013565540314,509,537,0,0,0,0,0,0,0,0
attention_raw_topk-minus-attention_connected,48,0.1,0.07263624668121338,0.0901305079460144,0.265252947807312,0.25946927070617676,0.09124314785003662,0.09831628203392029,0,0,0,0,1,1,1,1,1,1
attention_raw_topk-minus-attention_connected,192,0.1,0.005128249526023865,0.0029349029064178467,0.3120996356010437,0.3062833547592163,0.009762480854988098,0.004707083106040955,2,1,1,1,0,0,1,1,1,1
attention_raw_topk-minus-attention_connected,576,0.1,0.025411218404769897,0.0031028389930725098,0.2941857576370239,0.3097955584526062,0.11190152168273926,0.12155318260192871,0,0,0,0,1,1,1,1,1,1
attention_raw_topk-minus-attention_connected,350,0.1,0.1251242458820343,0.12785030901432037,0.42351216077804565,0.518698513507843,0.1893000304698944,0.3135814964771271,0,0,0,0,1,1,1,1,1,1
attention_raw_topk-minus-attention_connected,527,0.1,0.03104376792907715,0.04654476046562195,0.24210631847381592,0.27855682373046875,0.05745244026184082,0.06868934631347656,0,0,0,0,1,1,1,1,1,1
attention_raw_topk-minus-attention_connected,152,0.1,-0.014834225177764893,-0.02551037073135376,0.3812900185585022,0.35106682777404785,0.11014610528945923,0.1202247142791748,0,0,0,0,1,1,1,1,1,1
attention_raw_topk-minus-attention_connected,66,0.1,-0.06243006885051727,-0.06513680517673492,0.27132779359817505,0.28641319274902344,0.020968377590179443,0.023794367909431458,-2,-2,0,0,1,1,1,1,1,1
attention_raw_topk-minus-attention_connected,355,0.1,0.05535757541656494,0.04915502667427063,0.39044660329818726,0.3643307089805603,0.17455372214317322,0.19063565135002136,0,0,0,0,1,1,1,1,1,1
attention_raw_topk-minus-attention_connected,589,0.1,0.07558074593544006,0.07390928268432617,0.3470776677131653,0.35468852519989014,0.09614384174346924,0.09581899642944336,0,0,0,0,1,1,1,1,1,1
attention_raw_topk-minus-attention_connected,241,0.1,-0.028969526290893555,-0.028969526290893555,0.24943101406097412,0.24943101406097412,0.03759142756462097,0.03759142756462097,0,0,0,0,0,0,0,0,0,0
attention_raw_topk-minus-attention_connected,234,0.1,0.0309755802154541,0.03282301127910614,0.44813650846481323,0.4513017535209656,0.10332381725311279,0.0999758243560791,0,0,0,0,1,1,1,1,1,1
attention_raw_topk-minus-attention_connected,542,0.1,0.11167240142822266,0.12498149275779724,0.40318453311920166,0.43982434272766113,0.13421612977981567,0.14805766940116882,0,0,0,0,1,1,1,1,1,1
attention_raw_topk-minus-attention_connected,22,0.1,0.06565004587173462,0.10142743587493896,0.30031639337539673,0.3237230181694031,0.12598901987075806,0.1735069751739502,0,0,0,0,1,1,1,1,1,1
attention_raw_topk-minus-attention_connected,474,0.1,0.16197282075881958,0.16518092155456543,0.37339019775390625,0.3651368021965027,0.22574156522750854,0.22411179542541504,0,0,0,0,1,1,1,1,1,1
attention_raw_topk-minus-attention_connected,658,0.1,0.14026594161987305,0.16746506094932556,0.2862725257873535,0.31084340810775757,0.1741173267364502,0.1965961754322052,0,0,0,0,1,1,1,1,1,1
attention_raw_topk-minus-attention_connected,313,0.1,0.03207692503929138,0.007118344306945801,0.26539158821105957,0.2470608949661255,0.08941319584846497,0.052982211112976074,0,0,0,0,1,1,1,1,1,1
connected_topk:random_token-minus-random_pixel,18,0.1,0.004794788360595703,-0.0012497365474700927,0.01966845989227295,0.10588619709014893,0.005362451076507568,0.0192471981048584,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
connected_topk:random_token-minus-random_pixel,22,0.1,0.04631691575050354,0.04514795541763306,0.1583621859550476,0.17831995487213134,0.07125450372695923,0.0657683789730072,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
