query_id,mask_ratio,clean_rank,attention_margin_drop,random_margin_drop,attention_descriptor_drift,random_descriptor_drift,attention_positive_similarity_drop,random_positive_similarity_drop,attention_rank_degradation,random_rank_degradation,attention_failure_flip,random_failure_flip,attention_hit_at_1,random_hit_at_1,attention_hit_at_5,random_hit_at_5,attention_hit_at_10,random_hit_at_10,paired_margin_difference,mask_mode,baseline,attention_condition
464,0.1,1,0.13201607763767242,0.03126398622989655,0.41115856170654297,0.13566004037857055,0.1612871289253235,0.039128607511520384,0,0.0,0,0.0,1,1.0,1,1.0,1,1.0,0.10075209140777588,connected_topk,random_pixel,attention_connected
693,0.1,1,0.0707097053527832,0.0356450080871582,0.35374367237091064,0.20224571228027344,0.17408549785614014,0.10710826516151428,2,0.8,1,0.6,0,0.4,1,1.0,1,1.0,0.035064697265625,connected_topk,random_pixel,attention_connected
349,0.1,1,0.06821022927761078,0.018029075860977174,0.4542348384857178,0.11618441343307495,0.2657974362373352,0.06375561952590943,0,0.0,0,0.0,1,1.0,1,1.0,1,1.0,0.05018115341663361,connected_topk,random_pixel,attention_connected
487,0.1,1,0.149469256401062,0.06727083921432495,0.4305729269981384,0.24035561084747314,0.1899024248123169,0.09705712795257568,0,0.0,0,0.0,1,1.0,1,1.0,1,1.0,0.08219841718673707,connected_topk,random_pixel,attention_connected
733,0.1,1,0.036220043897628784,0.02174171805381775,0.25631701946258545,0.10193402767181396,0.06997048854827881,0.041633439064025876,0,0.0,0,0.0,1,1.0,1,1.0,1,1.0,0.014478325843811035,connected_topk,random_pixel,attention_connected
471,0.1,20,-0.007298693060874939,0.006940627098083496,0.4009009003639221,0.11366784572601318,0.03511492908000946,0.019950926303863525,5,26.8,0,0.0,0,0.0,0,0.0,0,0.0,-0.014239320158958435,connected_topk,random_pixel,attention_connected
687,0.1,1,0.08491992950439453,0.03266431093215942,0.38775062561035156,0.14003936052322388,0.2191128134727478,0.07279502153396607,0,0.0,0,0.0,1,1.0,1,1.0,1,1.0,0.05225561857223511,connected_topk,random_pixel,attention_connected
253,0.1,1,0.018602699041366577,0.009885585308074952,0.26468425989151,0.1264445185661316,0.09466773271560669,0.05364216566085815,0,0.0,0,0.0,1,1.0,1,1.0,1,1.0,0.008717113733291626,connected_topk,random_pixel,attention_connected
333,0.1,1,0.015234708786010742,0.017088621854782104,0.3576589822769165,0.16388248205184935,0.13341721892356873,0.058720731735229494,0,0.0,0,0.0,1,1.0,1,1.0,1,1.0,-0.0018539130687713623,connected_topk,random_pixel,attention_connected
34,0.1,67,-0.022375360131263733,0.0038059577345848083,0.3036257028579712,0.21149741411209105,-0.010302603244781494,0.010559658706188201,-46,53.0,0,0.0,0,0.0,0,0.0,0,0.0,-0.02618131786584854,connected_topk,random_pixel,attention_connected
290,0.1,1,0.0006601512432098389,-0.011843597888946534,0.33492422103881836,0.15584594011306763,0.07558107376098633,0.019015955924987792,0,0.0,0,0.0,1,1.0,1,1.0,1,1.0,0.012503749132156372,connected_topk,random_pixel,attention_connected
110,0.1,1,-0.02119305729866028,0.00517699122428894,0.15965259075164795,0.08332178592681885,0.06241929531097412,0.03782057762145996,0,0.0,0,0.0,1,1.0,1,1.0,1,1.0,-0.02637004852294922,connected_topk,random_pixel,attention_connected
301,0.1,1,0.05099368095397949,0.02370038628578186,0.2639681100845337,0.11689634323120117,0.06370773911476135,0.031044507026672365,0,0.0,0,0.0,1,1.0,1,1.0,1,1.0,0.027293294668197632,connected_topk,random_pixel,attention_connected
489,0.1,1,0.19060179591178894,0.1135185956954956,0.3807556629180908,0.24001704454421996,0.21961838006973267,0.1334304094314575,0,0.0,0,0.0,1,1.0,1,1.0,1,1.0,0.07708320021629333,connected_topk,random_pixel,attention_connected
154,0.1,1,0.007761657238006592,0.02988852858543396,0.3055339455604553,0.1923370361328125,0.056418657302856445,0.06114790439605713,0,0.0,0,0.0,1,1.0,1,1.0,1,1.0,-0.022126871347427367,connected_topk,random_pixel,attention_connected
481,0.1,1,0.031120896339416504,0.0029620885848999023,0.2625476121902466,0.07404669523239135,0.08189600706100464,0.01823957562446594,0,0.0,0,0.0,1,1.0,1,1.0,1,1.0,0.028158807754516603,connected_topk,random_pixel,attention_connected
602,0.1,9,0.10789886116981506,0.018218518793582918,0.23846983909606934,0.12151834964752198,0.07738013565540314,0.025261299312114717,537,51.2,0,0.0,0,0.0,0,0.0,0,0.2,0.08968034237623215,connected_topk,random_pixel,attention_connected
48,0.1,1,0.0901305079460144,0.045803380012512204,0.25946927070617676,0.20705453157424927,0.09831628203392029,0.04934467673301697,0,0.0,0,0.0,1,1.0,1,1.0,1,1.0,0.0443271279335022,connected_topk,random_pixel,attention_connected
